prediction,sentence,audio_id,openai/whisper-small,openai/whisper-large-v3,BELLE-2/Belle-whisper-large-v3-zh
客人青春休闲时尚，喜欢老花，喜欢春天，还喜欢speed，无数人喜欢精致小巧的包型。,客人青春休闲时尚，喜欢老花，喜欢经典款，喜欢speedy，无锡人，喜欢精致小巧的包型。,726157,客人青春休閒時尚喜歡老花喜歡金電話喜歡Sbedy無私人喜歡精緻小巧的包行,客人青春休閒時尚喜歡老花喜歡經典款喜歡Speedy無錫人喜歡精緻小巧的包型,客人青春休闲时尚喜欢老花喜欢纪念画喜欢斯比迪无锡人喜欢精致小巧的包型
无锡人刚刚结婚，喜欢休闲的包包，喜欢黑牛角酷一点的，喜欢小邮差包包么teeth。,无锡人刚刚结婚，喜欢休闲的包包，喜欢黑牛角酷一点的，喜欢小邮差包包metis。,726162,吳新仁剛剛結婚喜歡休閒的包包喜歡黑牛角褲一點的喜歡小油拆包包Mattice,吴希仁刚刚结婚喜欢休闲的包包喜欢黑牛角酷一点的喜欢小油钗包包MATIS,无锡人刚刚结婚喜欢休闲的包包喜欢黑牛角酷一点的喜欢小邮差包包马蒂斯
常州人喜欢小猫，喜欢猫的姑娘，喜欢老婆，喜欢奥那个喜欢戳特。,常州人喜欢小包，喜欢monogram，喜欢老花，喜欢onthego喜欢托特。,726098,常常人喜欢小包 喜欢猫的姑娘 喜欢老婆 喜欢奥特克 喜欢戳特,常州人喜欢小包喜欢蒙多果人喜欢老花喜欢奥德购喜欢托特,常州人喜欢小包喜欢摩托公司喜欢老婆喜欢奥德购喜欢托特
希望金典款选老华轩爆款需要发票自己开建筑，在附近开鹿，我喜欢大车喜欢经典色。,喜欢经典款，喜欢老花，喜欢爆款，需要发票，自己开店，住在附近开鹿，喜欢大车，喜欢经典色。,725801,西湾经典款选老华 西湾包款需要发票自己开进住在附近开路我喜欢大车 喜欢经典色,喜欢经典款 喜欢老华 喜欢爆款需要发票自己开进驻在附近开路喜欢大车 喜欢经典色,喜欢经典款喜欢老华喜欢爆款需要发票自己开进住在附近开路喜欢大车喜欢经典色
喜欢休闲，喜欢舒适，喜欢老花，喜欢小刘，才喜欢黑色，喜欢灰色。,喜欢休闲，喜欢舒适，喜欢老花，喜欢小邮差，喜欢黑色，喜欢灰色。,725761,喜欢休闲 喜欢舒适 喜欢老花 喜欢雪柔柴 喜欢灰色 喜欢灰色,喜歡休閒喜歡舒適喜歡老花喜歡選柔柴喜歡灰色喜歡灰色,喜欢休闲喜欢舒适喜欢老化喜欢雪柔柴喜欢黑色喜欢灰色
需要发票在于价格，喜欢对比，喜欢的花，喜欢经典种草开瑞。,需要发票在意价格，喜欢对比，喜欢老花，喜欢经典种草carryall,725743,需要发票再给价格喜欢对比喜欢老花喜欢经典种草开入,需要发票在意价格喜欢对比喜欢老花喜欢经典种草carry out,需要发票在意价格喜欢对比喜欢老花喜欢经典种草开瑞奥
买过卡普心喜欢，喜欢colour zone送项链，买过acc，喜欢路易威登，买过古驰买过Coach，b到货提醒试用整理的需求。,买过capucines喜欢，喜欢color blossom项链，买过acc，喜欢路易威登，买过gucci买过coach，nano speedy到货提醒，自用赠礼的需求。,725624,买过卡普星 喜欢ColorBone送项链买过ACC 喜欢路易威灯 买过骨池 买过Coch NanoSpeedy道口提醒 自用这里的需求,買過卡普星喜歡Colorblonzo項鍊買過ACC喜歡路易威登買過古池買過扣池NanoSpeedy到貨提醒自用證理的需求,买过卡普心喜欢卡尔伯龙送项链买过ACC喜欢路易威登买过古池买过扣尺NanoSpeed倒后提醒自用振理的需求
喜欢老花，喜欢休闲，喜欢舒适，喜欢法国人，喜欢斜挎，喜欢黑色。,喜欢老花，喜欢休闲，喜欢舒适，喜欢法棍，喜欢斜挎，喜欢黑色。,725491,喜欢老花 喜欢血线 喜欢舒适 喜欢法国 喜欢邪跨 喜欢黑色,喜歡老花 喜歡休閒 喜歡舒適 喜歡髮棍 喜歡斜挎 喜歡黑色,喜欢老花喜欢休闲喜欢舒适喜欢法国人喜欢鞋挎喜欢黑色
无锡人喜欢逛小红书，喜欢经典，老花喜欢使用，喜欢特喜欢CD20。,无锡人喜欢逛小红书，喜欢经典，老花喜欢实用，喜欢托特喜欢speedy20。,725281,吳希仁喜欢逛小红书喜欢今天老话喜欢食用喜欢拖特喜欢CVD-20,吴希仁喜欢逛小红书喜欢经典老话喜欢实用喜欢托特喜欢CBD20,吴昕仁喜欢逛小红书喜欢经典老话喜欢实用喜欢托特喜欢CBD二零
已购特喜欢牛皮，喜欢胖胖无锡人，90后新婚低调有质感。,已购托特喜欢牛皮，喜欢empreinte，无锡人，90后新婚低调有质感。,725302,以够脱特 喜欢牛皮 喜欢胖胖 无稀人酒灵后 新婚低调有质感,以购托特喜欢牛皮喜欢昂胖无锡人90后新婚低调有质感,以购托特喜欢牛皮喜欢昂胖无锡人九零后新婚低调有质感
昭通人喜欢老花产品，买过三串可有赠礼需求，喜欢男鞋喜欢香水。,"昭通人喜欢老花产品，买过side trunk, 有赠礼需求，喜欢男鞋喜欢香水。",725361,赵同仁喜欢老花传品买过塞创渴有赠礼需求喜欢南斜喜欢香水,赵同仁喜欢老花传品买过Side Trunk有赠礼需求喜欢男鞋喜欢香水,昭通人喜欢老花传品买过塞创客有赠礼需求喜欢男鞋喜欢香水
常州人孕妈选新款选爆款，现大象会需要发送代理价格。,常州人孕妈，喜欢新款，喜欢爆款，喜欢大象灰，需要发票，在意价格。,725104,常州人运妈喜欢新款 选爆款 选发酵回需要发酵代价格,长洲人运嘛喜欢新款 喜欢爆款喜欢发香会需要发票代价格,老花卖长周人运喜欢新款喜欢爆款喜欢大象会需要花票代价格
